"";"statistic";"bandwidth";"deviance_test_data"
"1";"Deviance";597,657074417978;6132,32534291535
"2";"Deviance";597,657074417978;6324,19069145528
"3";"Deviance";597,657074417978;6397,43542794967
"4";"Deviance";597,657074417978;6328,55482558631
"5";"Deviance";597,657074417978;NA
"6";"Deviance";1195,31414883596;5978,73436565354
"7";"Deviance";1195,31414883596;6168,24145292295
"8";"Deviance";1195,31414883596;6278,24045458392
"9";"Deviance";1195,31414883596;6121,72319355529
"10";"Deviance";1195,31414883596;6243,51478467005
"11";"Deviance";1792,97122325393;5896,52396347985
"12";"Deviance";1792,97122325393;6090,21166900844
"13";"Deviance";1792,97122325393;6215,03705457632
"14";"Deviance";1792,97122325393;6026,94091085481
"15";"Deviance";1792,97122325393;6143,00617103024
"16";"Deviance";2390,62829767191;5825,79071151993
"17";"Deviance";2390,62829767191;6031,51763698304
"18";"Deviance";2390,62829767191;6174,75535401826
"19";"Deviance";2390,62829767191;5968,20104367967
"20";"Deviance";2390,62829767191;6075,98671156591
"21";"Deviance";2988,28537208989;5775,61247539814
"22";"Deviance";2988,28537208989;5997,3373297697
"23";"Deviance";2988,28537208989;6153,83134656918
"24";"Deviance";2988,28537208989;5933,4827279406
"25";"Deviance";2988,28537208989;6041,10831121244
"26";"Deviance";3585,94244650787;5746,82285281217
"27";"Deviance";3585,94244650787;5981,89592064018
"28";"Deviance";3585,94244650787;6145,68651766031
"29";"Deviance";3585,94244650787;5915,11958473548
"30";"Deviance";3585,94244650787;6027,26411600983
"31";"Deviance";4183,59952092584;5731,58802681578
"32";"Deviance";4183,59952092584;5976,32584811335
"33";"Deviance";4183,59952092584;6144,04934932718
"34";"Deviance";4183,59952092584;5906,17225292679
"35";"Deviance";4183,59952092584;6023,50736447722
"36";"Deviance";4781,25659534382;5723,59289590203
"37";"Deviance";4781,25659534382;5975,19359242141
"38";"Deviance";4781,25659534382;6145,14297009704
"39";"Deviance";4781,25659534382;5902,03389072453
"40";"Deviance";4781,25659534382;6023,87279218869
"41";"Deviance";5378,9136697618;5719,35149301352
"42";"Deviance";5378,9136697618;5975,87373460822
"43";"Deviance";5378,9136697618;6147,20438754249
"44";"Deviance";5378,9136697618;5900,24417821109
"45";"Deviance";5378,9136697618;6025,7014480381
"46";"Deviance";5976,57074417978;5717,07381505053
"47";"Deviance";5976,57074417978;5977,19237738211
"48";"Deviance";5976,57074417978;6149,42756861216
"49";"Deviance";5976,57074417978;5899,60193041417
"50";"Deviance";5976,57074417978;6027,90092968359
