"";"statistic";"bandwidth";"deviance_test_data"
"1";"Deviance";1;NA
"2";"Deviance";1;NA
"3";"Deviance";1;NA
"4";"Deviance";1;NA
"5";"Deviance";1;NA
"6";"Deviance";2;6356,43289478582
"7";"Deviance";2;6178,32688310095
"8";"Deviance";2;6546,23799887839
"9";"Deviance";2;NA
"10";"Deviance";2;NA
"11";"Deviance";3;6251,20094563064
"12";"Deviance";3;6109,70159881579
"13";"Deviance";3;6439,64582089347
"14";"Deviance";3;5960,90948853579
"15";"Deviance";3;6036,1686329148
"16";"Deviance";4;6173,16945400697
"17";"Deviance";4;6062,53891346981
"18";"Deviance";4;6376,38517169069
"19";"Deviance";4;5911,31911494493
"20";"Deviance";4;5993,50863183828
"21";"Deviance";5;6107,48151454316
"22";"Deviance";5;6024,0156989399
"23";"Deviance";5;6312,48246912867
"24";"Deviance";5;5880,81883741631
"25";"Deviance";5;5957,08139200757
"26";"Deviance";6;6059,7224775126
"27";"Deviance";6;5993,28448804404
"28";"Deviance";6;6261,44024306583
"29";"Deviance";6;5855,58090813806
"30";"Deviance";6;5927,12355083386
"31";"Deviance";7;6027,12395738933
"32";"Deviance";7;5969,63198147912
"33";"Deviance";7;6224,74491455997
"34";"Deviance";7;5836,08555003672
"35";"Deviance";7;5904,56163146947
"36";"Deviance";1,7994265536641;6393,28596207003
"37";"Deviance";1,7994265536641;NA
"38";"Deviance";1,7994265536641;NA
"39";"Deviance";1,7994265536641;NA
"40";"Deviance";1,7994265536641;NA
"41";"Deviance";3,27168464302564;6229,51090902668
"42";"Deviance";3,27168464302564;6095,91135905771
"43";"Deviance";3,27168464302564;6423,71159801478
"44";"Deviance";3,27168464302564;5942,4918508525
"45";"Deviance";3,27168464302564;6023,25660069011
"46";"Deviance";4,90752696453846;6112,76495891348
"47";"Deviance";4,90752696453846;6027,25231914612
"48";"Deviance";4,90752696453846;6317,92052982907
"49";"Deviance";4,90752696453846;5883,39709210471
"50";"Deviance";4,90752696453846;5960,21695204951
