"";"statistic";"bandwidth";"deviance_test_data"
"1";"Deviance";1;Inf
"2";"Deviance";1;Inf
"3";"Deviance";1;NA
"4";"Deviance";1;6656,0895779905
"5";"Deviance";1;Inf
"6";"Deviance";2;6529,46139273468
"7";"Deviance";2;6441,77324234371
"8";"Deviance";2;6579,32658489643
"9";"Deviance";2;6480,9814591876
"10";"Deviance";2;6767,16730884724
"11";"Deviance";3;6454,56137954013
"12";"Deviance";3;6358,99312908127
"13";"Deviance";3;6436,45137445109
"14";"Deviance";3;6399,17033236974
"15";"Deviance";3;6618,47490408771
"16";"Deviance";4;6409,78727979646
"17";"Deviance";4;6303,90969074612
"18";"Deviance";4;6348,12932922143
"19";"Deviance";4;6334,50275041792
"20";"Deviance";4;6529,78393945631
"21";"Deviance";5;6372,17585845145
"22";"Deviance";5;6260,04027923973
"23";"Deviance";5;6279,21026679231
"24";"Deviance";5;6283,1379607382
"25";"Deviance";5;6467,84971091712
"26";"Deviance";6;6336,91936133281
"27";"Deviance";6;6226,56201188473
"28";"Deviance";6;6225,1943275737
"29";"Deviance";6;6244,23394702553
"30";"Deviance";6;6420,9528470323
"31";"Deviance";7;6308,30642202082
"32";"Deviance";7;6202,47768091482
"33";"Deviance";7;6185,35927698521
"34";"Deviance";7;6216,40325600944
"35";"Deviance";7;6386,08758923814
"36";"Deviance";1,7994265536641;6569,81008853127
"37";"Deviance";1,7994265536641;6467,42766130964
"38";"Deviance";1,7994265536641;6623,16815090061
"39";"Deviance";1,7994265536641;6503,46769484633
"40";"Deviance";1,7994265536641;6812,27008832693
"41";"Deviance";3,27168464302564;6440,77602028204
"42";"Deviance";3,27168464302564;6342,64796300113
"43";"Deviance";3,27168464302564;6409,76628533509
"44";"Deviance";3,27168464302564;6380,39281213279
"45";"Deviance";3,27168464302564;6590,48767575958
"46";"Deviance";4,90752696453846;6375,60014593198
"47";"Deviance";4,90752696453846;6263,67318889183
"48";"Deviance";4,90752696453846;6284,9073647067
"49";"Deviance";4,90752696453846;6287,28532098025
"50";"Deviance";4,90752696453846;6472,84186882881
