"";"statistic";"bandwidth";"deviance_test_data"
"1";"Deviance";1;NA
"2";"Deviance";1;NA
"3";"Deviance";1;NA
"4";"Deviance";1;2513,2492729007
"5";"Deviance";1;2687,80617215723
"6";"Deviance";2;2595,06304037166
"7";"Deviance";2;2543,63200506933
"8";"Deviance";2;2677,20609899349
"9";"Deviance";2;2409,74244136348
"10";"Deviance";2;2537,30336497069
"11";"Deviance";3;2560,89766251118
"12";"Deviance";3;2515,81263908618
"13";"Deviance";3;2661,89966914403
"14";"Deviance";3;2381,33903519779
"15";"Deviance";3;2525,55291958899
"16";"Deviance";4;2554,56855139304
"17";"Deviance";4;2502,10002669673
"18";"Deviance";4;2657,37774595704
"19";"Deviance";4;2371,88941136404
"20";"Deviance";4;2523,23868623229
"21";"Deviance";5;2555,54261188817
"22";"Deviance";5;2499,82304954393
"23";"Deviance";5;2659,20412821765
"24";"Deviance";5;2370,86219328451
"25";"Deviance";5;2523,51903830777
"26";"Deviance";6;2558,05885202408
"27";"Deviance";6;2503,16355040391
"28";"Deviance";6;2663,72359685544
"29";"Deviance";6;2371,60731303521
"30";"Deviance";6;2526,27344851958
"31";"Deviance";7;2562,34629025672
"32";"Deviance";7;2509,23786829798
"33";"Deviance";7;2669,450033401
"34";"Deviance";7;2373,54832620991
"35";"Deviance";7;2531,42091070926
"36";"Deviance";1,90307218610269;2602,03841425753
"37";"Deviance";1,90307218610269;2547,56310450158
"38";"Deviance";1,90307218610269;2680,26750356753
"39";"Deviance";1,90307218610269;2414,19278426904
"40";"Deviance";1,90307218610269;2540,72535058191
"41";"Deviance";3,46013124745944;2556,26076808203
"42";"Deviance";3,46013124745944;2507,6864836068
"43";"Deviance";3,46013124745944;2658,72042410801
"44";"Deviance";3,46013124745944;2375,13885612098
"45";"Deviance";3,46013124745944;2524,01904006512
"46";"Deviance";5,19019687118917;2555,9108436944
"47";"Deviance";5,19019687118917;2500,14374302125
"48";"Deviance";5,19019687118917;2659,91863449977
"49";"Deviance";5,19019687118917;2370,92168697677
"50";"Deviance";5,19019687118917;2523,82172566633
