"";"statistic";"bandwidth";"deviance_test_data"
"1";"Deviance";1;NA
"2";"Deviance";1;NA
"3";"Deviance";1;NA
"4";"Deviance";1;NA
"5";"Deviance";1;NA
"6";"Deviance";2;Inf
"7";"Deviance";2;NA
"8";"Deviance";2;NA
"9";"Deviance";2;3141,60519873906
"10";"Deviance";2;NA
"11";"Deviance";3;3138,53707378901
"12";"Deviance";3;NA
"13";"Deviance";3;3027,61220032057
"14";"Deviance";3;3073,69346476516
"15";"Deviance";3;NA
"16";"Deviance";4;3062,1430942294
"17";"Deviance";4;2975,94969184237
"18";"Deviance";4;2958,67366540512
"19";"Deviance";4;3002,75359320728
"20";"Deviance";4;3011,31759391307
"21";"Deviance";5;2996,33624759894
"22";"Deviance";5;2882,49445822798
"23";"Deviance";5;2908,4654699769
"24";"Deviance";5;2942,1451585257
"25";"Deviance";5;2973,60086778295
"26";"Deviance";6;2949,97598106974
"27";"Deviance";6;2821,3253362684
"28";"Deviance";6;2873,48689057511
"29";"Deviance";6;2894,62247677688
"30";"Deviance";6;2955,5176385042
"31";"Deviance";7;2920,29105371928
"32";"Deviance";7;2784,76868777918
"33";"Deviance";7;2851,27148862447
"34";"Deviance";7;2860,97644101003
"35";"Deviance";7;2947,12881383478
"36";"Deviance";1,7994265536641;NA
"37";"Deviance";1,7994265536641;NA
"38";"Deviance";1,7994265536641;NA
"39";"Deviance";1,7994265536641;3153,15915051284
"40";"Deviance";1,7994265536641;NA
"41";"Deviance";3,27168464302564;3117,49308927719
"42";"Deviance";3,27168464302564;NA
"43";"Deviance";3,27168464302564;3005,92414555662
"44";"Deviance";3,27168464302564;3053,70541243016
"45";"Deviance";3,27168464302564;NA
"46";"Deviance";4,90752696453846;3001,66128317318
"47";"Deviance";4,90752696453846;2889,7309353895
"48";"Deviance";4,90752696453846;2912,42535610849
"49";"Deviance";4,90752696453846;2947,35219520348
"50";"Deviance";4,90752696453846;2975,96984324894
