"";"statistic";"bandwidth";"deviance_test_data"
"1";"Deviance";1;NA
"2";"Deviance";1;NA
"3";"Deviance";1;NA
"4";"Deviance";1;NA
"5";"Deviance";1;NA
"6";"Deviance";2;NA
"7";"Deviance";2;NA
"8";"Deviance";2;3226,49689037351
"9";"Deviance";2;NA
"10";"Deviance";2;NA
"11";"Deviance";3;3025,82280823178
"12";"Deviance";3;2915,86202239949
"13";"Deviance";3;3144,57926310227
"14";"Deviance";3;3057,59715070421
"15";"Deviance";3;3063,20526880288
"16";"Deviance";4;3000,08853616025
"17";"Deviance";4;2909,04409407551
"18";"Deviance";4;3112,06512030214
"19";"Deviance";4;3015,27210466945
"20";"Deviance";4;3004,66332053115
"21";"Deviance";5;2987,03433745988
"22";"Deviance";5;2905,26752036792
"23";"Deviance";5;3095,60955972305
"24";"Deviance";5;2991,53582906774
"25";"Deviance";5;2981,56379536317
"26";"Deviance";6;2978,81891968894
"27";"Deviance";6;2900,49110601667
"28";"Deviance";6;3083,64667214745
"29";"Deviance";6;2975,07949030397
"30";"Deviance";6;2972,90257438244
"31";"Deviance";7;2972,76746718081
"32";"Deviance";7;2895,70649434305
"33";"Deviance";7;3072,72208142025
"34";"Deviance";7;2962,16432020586
"35";"Deviance";7;2969,25121153323
"36";"Deviance";1,7994265536641;NA
"37";"Deviance";1,7994265536641;NA
"38";"Deviance";1,7994265536641;NA
"39";"Deviance";1,7994265536641;NA
"40";"Deviance";1,7994265536641;NA
"41";"Deviance";3,27168464302564;3016,73619999228
"42";"Deviance";3,27168464302564;2912,96481789742
"43";"Deviance";3,27168464302564;3132,95767432227
"44";"Deviance";3,27168464302564;3043,1925056171
"45";"Deviance";3,27168464302564;3041,77205370665
"46";"Deviance";4,90752696453846;2987,91971702759
"47";"Deviance";4,90752696453846;2905,66550510732
"48";"Deviance";4,90752696453846;3096,81793205164
"49";"Deviance";4,90752696453846;2993,33380379503
"50";"Deviance";4,90752696453846;2982,90963330836
